"Maakunta";"Rikos";"Uhrin ikä";"Vuosi";"Tiedot";"Uhri mies";"Uhri nainen"
"KOKO MAA";"YHTEENSÄ";"0 - 4";"2020";"Uhrien lukumäärä";477;419
"KOKO MAA";"YHTEENSÄ";"5 - 9";"2020";"Uhrien lukumäärä";1295;891
"KOKO MAA";"YHTEENSÄ";"10 - 14";"2020";"Uhrien lukumäärä";2380;2323
"KOKO MAA";"YHTEENSÄ";"15 - 17";"2020";"Uhrien lukumäärä";1972;1860
"KOKO MAA";"YHTEENSÄ";"18 - 20";"2020";"Uhrien lukumäärä";2371;2151
"KOKO MAA";"YHTEENSÄ";"21 - 24";"2020";"Uhrien lukumäärä";2916;3239
"KOKO MAA";"YHTEENSÄ";"25 - 29";"2020";"Uhrien lukumäärä";3783;4246
"KOKO MAA";"YHTEENSÄ";"30 - 34";"2020";"Uhrien lukumäärä";3442;4418
"KOKO MAA";"YHTEENSÄ";"35 - 39";"2020";"Uhrien lukumäärä";3180;4166
"KOKO MAA";"YHTEENSÄ";"40 - 44";"2020";"Uhrien lukumäärä";2857;3428
"KOKO MAA";"YHTEENSÄ";"45 - 49";"2020";"Uhrien lukumäärä";2089;2459
"KOKO MAA";"YHTEENSÄ";"50 - 54";"2020";"Uhrien lukumäärä";1777;2147
"KOKO MAA";"YHTEENSÄ";"55 - 59";"2020";"Uhrien lukumäärä";1365;1519
"KOKO MAA";"YHTEENSÄ";"60 - 64";"2020";"Uhrien lukumäärä";833;954
"KOKO MAA";"YHTEENSÄ";"65 - 69";"2020";"Uhrien lukumäärä";552;611
"KOKO MAA";"YHTEENSÄ";"70 - 74";"2020";"Uhrien lukumäärä";350;406
"KOKO MAA";"YHTEENSÄ";"75 -";"2020";"Uhrien lukumäärä";243;272
"KOKO MAA";"YHTEENSÄ";"Tuntematon";"2020";"Uhrien lukumäärä";303;215
