"Maakunta";"Rikos";"Uhrin ikä";"Vuosi";"Tiedot";"Uhri mies";"Uhri nainen"
"MK01 Uusimaa";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";12230;13907
"MK02 Varsinais-Suomi";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";2706;3423
"MK04 Satakunta";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";1089;1142
"MK05 Kanta-Häme";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";803;917
"MK06 Pirkanmaa";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";3303;4413
"MK07 Päijät-Häme";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";949;1152
"MK08 Kymenlaakso";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";757;776
"MK09 Etelä-Karjala";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";635;673
"MK10 Etelä-Savo";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";620;565
"MK11 Pohjois-Savo";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";1161;1086
"MK12 Pohjois-Karjala";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";665;558
"MK13 Keski-Suomi";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";1694;1759
"MK14 Etelä-Pohjanmaa";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";883;846
"MK15 Pohjanmaa";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";710;647
"MK16 Keski-Pohjanmaa";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";323;284
"MK17 Pohjois-Pohjanmaa";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";1871;1810
"MK18 Kainuu";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";431;334
"MK19 Lappi";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";836;793
"MK21 Ahvenanmaa - Åland";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";179;125
"Tuntematon";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";340;514
