"Maakunta";"Rikos";"Uhrin ikä";"Vuosi";"Tiedot";"Uhri mies";"Uhri nainen"
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2009";"Uhrien lukumäärä";13773;7359
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2010";"Uhrien lukumäärä";13850;7441
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2011";"Uhrien lukumäärä";16285;9845
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2012";"Uhrien lukumäärä";15167;9418
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2013";"Uhrien lukumäärä";14286;9042
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2014";"Uhrien lukumäärä";12803;8591
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2015";"Uhrien lukumäärä";13346;8800
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2016";"Uhrien lukumäärä";13265;8966
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2017";"Uhrien lukumäärä";13575;8887
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2018";"Uhrien lukumäärä";13435;9105
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2019";"Uhrien lukumäärä";13771;9536
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2020";"Uhrien lukumäärä";12922;9533
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2009";"Uhrien lukumäärä";1698;434
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2010";"Uhrien lukumäärä";1615;373
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2011";"Uhrien lukumäärä";1638;421
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2012";"Uhrien lukumäärä";1481;370
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2013";"Uhrien lukumäärä";1410;373
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2014";"Uhrien lukumäärä";1307;349
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2015";"Uhrien lukumäärä";1194;361
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2016";"Uhrien lukumäärä";1245;358
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2017";"Uhrien lukumäärä";1219;388
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2018";"Uhrien lukumäärä";1251;385
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2019";"Uhrien lukumäärä";1200;414
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2020";"Uhrien lukumäärä";1375;400
