"Maakunta";"Rikos";"Uhrin ikä";"Vuosi";"Tiedot";"Uhri mies";"Uhri nainen"
"KOKO MAA";"YHTEENSÄ";"Yhteensä";"2009";"Uhrien lukumäärä";22572;14462
"KOKO MAA";"YHTEENSÄ";"Yhteensä";"2010";"Uhrien lukumäärä";23895;16022
"KOKO MAA";"YHTEENSÄ";"Yhteensä";"2011";"Uhrien lukumäärä";30685;23293
"KOKO MAA";"YHTEENSÄ";"Yhteensä";"2012";"Uhrien lukumäärä";29851;23206
"KOKO MAA";"YHTEENSÄ";"Yhteensä";"2013";"Uhrien lukumäärä";27839;21980
"KOKO MAA";"YHTEENSÄ";"Yhteensä";"2014";"Uhrien lukumäärä";25799;21334
"KOKO MAA";"YHTEENSÄ";"Yhteensä";"2015";"Uhrien lukumäärä";25989;21409
"KOKO MAA";"YHTEENSÄ";"Yhteensä";"2016";"Uhrien lukumäärä";26481;22296
"KOKO MAA";"YHTEENSÄ";"Yhteensä";"2017";"Uhrien lukumäärä";26494;22437
"KOKO MAA";"YHTEENSÄ";"Yhteensä";"2018";"Uhrien lukumäärä";26918;23426
"KOKO MAA";"YHTEENSÄ";"Yhteensä";"2019";"Uhrien lukumäärä";27475;24455
"KOKO MAA";"YHTEENSÄ";"Yhteensä";"2020";"Uhrien lukumäärä";32185;35724
"KOKO MAA";"Raiskaus 20:1§1-2";"Yhteensä";"2009";"Uhrien lukumäärä";2;255
"KOKO MAA";"Raiskaus 20:1§1-2";"Yhteensä";"2010";"Uhrien lukumäärä";6;332
"KOKO MAA";"Raiskaus 20:1§1-2";"Yhteensä";"2011";"Uhrien lukumäärä";7;530
"KOKO MAA";"Raiskaus 20:1§1-2";"Yhteensä";"2012";"Uhrien lukumäärä";8;612
"KOKO MAA";"Raiskaus 20:1§1-2";"Yhteensä";"2013";"Uhrien lukumäärä";12;574
"KOKO MAA";"Raiskaus 20:1§1-2";"Yhteensä";"2014";"Uhrien lukumäärä";20;671
